slug	source	isWeddingCluster	pillar	category	calculatorLinks	venueBoatsLinks	djLinks	totalLinks
15-unique-birthday-party-ideas-in-austin-for-adults	mdx	0	ultimate-guide-austin-birthday-parties	Birthday Parties	0	0	0	0
affordable-birthday-party-rentals-and-suppliers	mdx	0	ultimate-guide-austin-birthday-parties	Birthday Parties	0	0	0	0
all-inclusive-austin-wedding-venues	mdx	1	ultimate-guide-austin-weddings	Weddings	1	1	0	2
austin-bachelor-party-do-s-and-don-ts-for-first-time-planners	mdx	0	ultimate-guide-austin-bachelor-parties	Bachelor Parties	0	0	0	0
austin-elopement-ideas-minimalist	mdx	1	ultimate-guide-austin-weddings	Weddings	1	1	0	2
austin-florists-caterers-texas-weddings	mdx	1	ultimate-guide-austin-weddings	Weddings	1	1	0	2
austin-gift-guide-party-lovers-home-bartenders	mdx	0		Gift Guides	0	0	0	0
austin-s-best-axe-throwing-and-adventure-activities-for-bachelor-parties	mdx	0	ultimate-guide-austin-bachelor-parties	Bachelor Parties	0	0	0	0
austin-venues-with-built-in-a-v-and-networking-spaces	mdx	0	ultimate-guide-austin-corporate-events	Corporate Events	0	0	0	0
balloon-pop-vs-confetti-cannon-which-reveal-is-better	mdx	0	ultimate-guide-austin-gender-reveals	Gender Reveals	0	0	0	0
best-airbnb-neighborhoods-for-bachelor-parties-in-austin	mdx	0	ultimate-guide-austin-bachelor-parties	Bachelor Parties	0	0	0	0
best-austin-bachelorette-themes-and-matching-outfit-ideas	mdx	0	ultimate-guide-austin-bachelorette-parties	Bachelorette Parties	0	0	0	0
best-bbq-spots-for-a-bachelor-party-lunch-in-austin	mdx	0	ultimate-guide-austin-bachelor-parties	Bachelor Parties	0	0	0	0
best-engagement-party-venues-in-austin	mdx	1	ultimate-guide-austin-engagement-parties	Engagement Parties	1	1	0	2
best-live-entertainment-ideas-for-austin-corporate-functions	mdx	0	ultimate-guide-austin-corporate-events	Corporate Events	0	0	0	0
best-outdoor-venues-for-gender-reveals-in-austin	mdx	0	ultimate-guide-austin-gender-reveals	Gender Reveals	0	0	0	0
best-party-barge-rentals-austin	mdx	0	ultimate-guide-lake-travis-boat-parties	Boat Parties	0	0	0	0
best-party-barge-rentals-in-austin-for-large-groups	mdx	0		Boat Parties	0	0	0	0
best-restaurants-for-birthday-dinners-in-austin	mdx	0	ultimate-guide-austin-birthday-parties	Birthday Parties	0	0	0	0
best-small-wedding-venues-austin	mdx	1	ultimate-guide-austin-weddings	Weddings	1	1	0	2
