"handle","title","status","queries","impr","clicks"
"borrasca-brut-cava","Borrasca Brut Cava • 750ml Bottle","ARCHIVED",74,2024,2
"modelo-ranch-water-6-pack","Modelo Ranch Water •  6 Pack 12oz Can","ARCHIVED",31,1931,4
"twisted-x-mcconauhaze-hazy-ipa-12oz-can","Twisted X McConauhaze Hazy IPA • 12oz Can","ARCHIVED",45,1174,1
"polish-horseshoes-game-set","BEERSBY Game Set - RENTAL","ARCHIVED",25,953,1
"drinking-buddy-hangover-support-supplement-single-pack-copy","Drinking Buddy Hangover Support Supplement • Party Pack","ARCHIVED",225,943,0
"triple-sec-50ml","Triple Sec • 50ml Bottle","ARCHIVED",99,676,2
"waterboy-hydration-weekend-recovery-lemon-ginger-12-pk","WaterBoy Hydration + Weekend Recovery Lemon Ginger • 12 Pack","ARCHIVED",14,478,6
"twisted-x-mcconauhaze-hazy-ipa-12oz-6-pack-can","Twisted X McConauhaze Hazy IPA • 6 Pack 12oz Can","ARCHIVED",35,418,1
"four-loko-lemonade","Four Loko Lemonade • 23.5oz Can","ARCHIVED",42,366,0
"karbach-ranch-water-variety-12oz-12-pack-can","Karbach Ranch Water Variety Pack • 12 Pack 12oz Can","ARCHIVED",9,349,0
"motorized-pool-lounger","Motorized Pool Lounger","ARCHIVED",12,339,0
"team-bride-sunglasses","""Team Bride"" Sunglasses","ARCHIVED",18,312,1
"pumpkin-spice-old-fashioned-cocktail-kit-copy","Austin Whiskey Gift Basket","ARCHIVED",35,305,0
"glass-beverage-dispenser","Glass Beverage Dispenser","ARCHIVED",90,297,0
"inflatable-led-photo-booth-tent","Inflatable LED Photo Booth Tent","ARCHIVED",33,276,0
"miller-lite-keg-1-4-barrel-5-5-gal","Miller Lite Keg • 1/4 Barrel 5.5 gal","ARCHIVED",98,275,2
"filthy-olive-brine-for-cocktails-8-oz-pouch","Filthy Olive Brine for Cocktails • 8oz Pouch","ARCHIVED",19,273,0
"oregon-spirit-absinthe-375ml","Oregon Spirit Absinthe • 375ml","ARCHIVED",12,245,1
"smirnoff-ice-original","Smirnoff Ice Original • 11.2oz Bottle","ARCHIVED",12,231,0
"liquid-i-v-hydration-multiplier-electrolyte-drink-mix-lemon-lime-10ct","Liquid I.V. Hydration Multiplier Electrolyte Drink Mix - Lemon Lime • 10ct","ARCHIVED",59,231,0
"cafe-granita-coffee-liqueur-750ml","Cafe Granita Coffee Liqueur • 750ml Bottle","ARCHIVED",9,215,1
"four-corners-el-chingon-6-pack","Four Corners El Chingon • 6 Pack 12oz Can","ARCHIVED",10,193,0
